p_complete,age_sex,date,year,geometry,area,length,width
NA,male,20160125,2016,"list(c(1837344.74735072, 1837345.16455324, 1837345.51917539, 1837345.93637791, 1837345.99895829, 1837346.10325892, 1837346.11985245, 1837346.07065186, 1837345.95723804, 1837345.16455324, 1837344.93509186, 1837344.68477034, 1837343.91294567, 1837343.41230265, 1837343.20370139, 1837343.14112101, 1837343.16198113, 1837343.22456151, 1837343.66262416, 1837343.99638618, 1837344.22584757, 1837344.39272858, 1837344.74735072, 569934.235416, 569934.193695095, 569934.068532394, 569933.734765182, 569933.630462929, 
569933.547021125, 569933.412631266, 569933.349763846, 569933.338416618, 569933.338416617, 569933.296695718, 569933.296695718, 569933.150672566, 569932.983788961, 569932.983788958, 569933.025509861, 569933.192393465, 569933.317556169, 569933.839067435, 569934.068532394, 569934.172834646, 569934.214555549, 569934.235416))",2.200377551313465,3.1517364571722988,1.0340340407855617
NA,pup,20160125,2016,"list(c(1837265.72919288, 1837265.79177326, 1837265.85435364, 1837266.02123465, 1837266.0629549, 1837266.08381503, 1837266.00037452, 1837265.60403212, 1837265.72919288, 569945.583501161, 569945.583501161, 569945.479198908, 569945.458338457, 569945.395757106, 569945.166292148, 569944.832524939, 569945.458338459, 569945.583501161))",0.17928247234207367,0.684707818467433,0.3085039578450205
NA,male,20160125,2016,"list(c(1837312.99823873, 1837313.14912798, 1837313.2086393, 1837312.81049759, 1837312.60189633, 1837312.56017608, 1837312.35157482, 1837312.33071469, 1837312.05953305, 1837311.93437229, 1837311.87179192, 1837311.76749128, 1837311.72577103, 1837311.68405078, 1837311.72577103, 1837311.87179191, 1837312.16383368, 1837312.45199533, 1837312.64361658, 1837312.99823873, 569950.110218956, 569950.11565051, 569950.022132717, 569949.442684533, 569948.942033718, 569948.503964255, 569948.003313439, 569947.836429832, 
569947.46094172, 569947.335779015, 569947.314918569, 569947.419220821, 569947.544383524, 569948.337080648, 569948.712568763, 569949.296661379, 569949.693009943, 569949.911611687, 569949.9641958, 569950.110218956))",1.9432511793298128,3.1324428299956164,0.9207102333899313
NA,male,20160125,2016,"list(c(1837301.29570796, 1837301.64643932, 1837301.87979149, 1837302.35957439, 1837302.67247629, 1837302.96451805, 1837303.15972726, 1837303.36086045, 1837303.64431947, 1837303.67832594, 1837303.81010101, 1837303.79522318, 1837303.76546752, 1837303.59330976, 1837303.23569969, 1837302.60989591, 1837302.35957439, 1837301.85893136, 1837301.33742821, 1837301.12882695, 1837300.98280607, 1837300.98280607, 1837301.02452632, 1837301.29570796, 569966.485672729, 569966.525897947, 569966.464812278, 569966.277068224, 
569966.110184616, 569966.026742815, 569965.964791183, 569965.90158011, 569965.684237802, 569965.58221839, 569965.435565486, 569965.371803353, 569965.339922287, 569965.335671479, 569965.317487489, 569965.317487491, 569965.380068845, 569965.651254702, 569966.026742814, 569966.089324165, 569966.193626419, 569966.318789122, 569966.360510025, 569966.485672729))",1.7969645531798968,2.987617161860363,0.8352617429089964
NA,male,20160125,2016,"list(c(1837298.32914247, 1837298.31380521, 1837298.24579227, 1837298.18495563, 1837297.99924536, 1837297.74948651, 1837297.43658462, 1837297.08196248, 1837296.74820046, 1837296.70648021, 1837296.70648021, 1837296.74820046, 1837296.9359416, 1837297.0193821, 1837297.18309006, 1837297.21709653, 1837297.20712323, 1837297.37400425, 1837297.56174538, 1837297.74948652, 1837298.06238841, 1837298.20840929, 1837298.25012954, 1837298.32914247, 569971.057489121, 569970.955240734, 569970.836218087, 569970.814095674, 
569970.895729411, 569970.991530073, 569971.283576382, 569971.700785396, 569972.347459365, 569972.514342972, 569973.307040098, 569973.515644605, 569973.70338866, 569973.703388659, 569973.70126323, 569973.607745436, 569973.453063251, 569973.223598294, 569972.868970632, 569972.681226578, 569972.055413057, 569971.617343594, 569971.24185548, 569971.057489121))",2.4507596463071715,3.187494375590345,1.0798904697006422
NA,male,20160125,2016,"list(c(1837288.17468861, 1837288.27898925, 1837288.3207095, 1837288.34156962, 1837288.44587025, 1837288.40415, 1837288.45192875, 1837288.52931076, 1837288.63361139, 1837288.63361139, 1837288.59189114, 1837288.09486081, 1837287.82006647, 1837287.54888483, 1837287.4445842, 1837287.42323302, 1837287.44023626, 1837287.48630445, 1837287.54888483, 1837287.65318546, 1837288.17468861, 569975.330503811, 569975.30964336, 569975.226201556, 569974.788132093, 569974.037155871, 569973.223598295, 569972.978625731, 
569972.82724973, 569972.681226577, 569972.535203422, 569972.49348252, 569972.570548085, 569972.743807929, 569973.140156491, 569973.4322028, 569973.709764848, 569974.083836023, 569974.329202179, 569974.621248488, 569974.829852993, 569975.330503811))",2.219910154514792,3.0705586896201136,1.0480644192043655
NA,male,20160125,2016,"list(c(1837312.70824729, 1837312.71554548, 1837312.74105033, 1837312.79206004, 1837312.82808175, 1837312.85221784, 1837313.00460048, 1837313.16613121, 1837313.43630138, 1837313.55720563, 1837313.74920327, 1837314.14554566, 1837314.60446844, 1837314.85478995, 1837315.1259716, 1837315.34254533, 1837315.42756151, 1837315.12597159, 1837314.75048932, 1837314.37500705, 1837314.14554567, 1837314.04124503, 1837313.95780453, 1837313.58232226, 1837313.24856024, 1837313.00460048, 1837312.85157136, 1837312.7750568, 
1837312.70824729, 569976.59085244, 569976.623694291, 569976.70020885, 569976.768221791, 569976.790735358, 569976.790735359, 569976.853237967, 569976.861739585, 569976.769874906, 569976.725713703, 569976.623851753, 569976.477828598, 569976.164921838, 569976.060619585, 569975.998038232, 569975.935063263, 569975.799037381, 569975.559968769, 569975.434806066, 569975.413945614, 569975.476526964, 569975.539108318, 569975.64341057, 569975.810294177, 569976.039759134, 569976.275127968, 569976.394150615, 
569976.470665174, 569976.59085244))",1.8771911576676386,2.874395807947966,0.9151135492927436
NA,male,20160125,2016,"list(c(1837289.2520522, 1837289.27658567, 1837289.33609699, 1837289.41261155, 1837289.43706948, 1837289.46801643, 1837289.6766177, 1837290.1564006, 1837290.27977655, 1837290.39029758, 1837290.49231699, 1837290.78220438, 1837291.0279189, 1837291.1994069, 1837291.44972842, 1837291.99710331, 1837291.9920917, 1837291.82521069, 1837291.34542779, 1837291.13682653, 1837290.74048413, 1837290.59446325, 1837290.42758224, 1837289.80177845, 1837289.59317719, 1837289.42629618, 1837289.30113543, 1837289.2520522, 
569979.529182333, 569979.584382632, 569979.643893956, 569979.677900426, 569979.683544565, 569979.669477549, 569979.648617101, 569979.669477549, 569979.686402044, 569979.711906897, 569979.703405279, 569979.690338, 569979.677900426, 569979.62775665, 569979.523454394, 569979.23581631, 569979.147966282, 569979.001943129, 569978.814199072, 569978.772478172, 569978.772478171, 569978.814199072, 569978.814199073, 569979.02280358, 569979.189687186, 569979.273128988, 569979.398291691, 569979.529182333))",1.8096480770344716,2.7828237555146376,0.9496360694228528
NA,male,20160125,2016,"list(c(1837298.08324853, 1837298.25012954, 1837298.31270992, 1837298.33357005, 1837298.25012954, 1837298.14377286, 1837297.99980803, 1837297.74948652, 1837297.5826055, 1837297.18626311, 1837296.83164097, 1837296.66475996, 1837296.58131945, 1837296.6230397, 1837296.97766185, 1837297.499165, 1837297.74948651, 1837298.08324853, 569982.881986951, 569982.881986951, 569982.819405598, 569982.631661543, 569982.423057037, 569981.956333952, 569981.713801715, 569981.213150898, 569981.025406846, 569980.754220984, 
569980.587337377, 569980.60819783, 569980.712500081, 569980.94196504, 569981.776383068, 569982.464777938, 569982.673382446, 569982.881986951))",1.902294047661961,2.7666359205616824,0.9657593541955386
NA,male,20160125,2016,"list(c(1837307.44944517, 1837307.76234706, 1837307.84578757, 1837307.8666477, 1837307.72062681, 1837307.32428442, 1837307.19912366, 1837307.03224265, 1837306.96966227, 1837306.65676038, 1837306.30213823, 1837306.03095659, 1837305.7180547, 1837305.67633445, 1837305.7180547, 1837305.92665596, 1837306.05181672, 1837306.23955786, 1837306.55245975, 1837306.6776205, 1837307.01138252, 1837307.24084391, 1837307.44944517, 569984.196195347, 569984.154474442, 569984.09189309, 569984.02931174, 569983.799846781, 
569982.923707854, 569982.735963796, 569982.569080191, 569982.423057037, 569982.151871179, 569982.026708475, 569982.005848026, 569982.110150278, 569982.235312982, 569982.318754783, 569982.464777938, 569982.610801091, 569983.048870556, 569983.48694002, 569983.75812588, 569984.05017219, 569984.154474442, 569984.196195347))",2.1742351284442742,2.949638958420135,1.0525987945198294
